timestamp,juror,repo_a,repo_b,parent,choice,multiplier,reasoning
2025-01-24T19:03:52.628Z,L1Juror1,https://github.com/erigontech/erigon,https://github.com/hyperledger/besu,ethereum,2,5.27,"Erigon and Besu are both execution clients. Today, Erigon is 3% of the network and Besu is 16%. We can also analyze their contributions to client diversity by looking at the Herfindahl index of execution clients with and without each one:

>>> def hh(l): return sum([x**2 for x in l]) / sum(l)**2
... 
>>> hh([43,36,16,3,2])
0.3414
>>> hh([43,36,16,2])
0.3618875544691253
>>> hh([43,36,3,2])
0.447562358276644

This suggests that Besu is 5.2x valuable toward decreasing the Herfindahl index. If we average the raw number (5.33x) and the Herfindahl contribution (5.2x), we get 5.27x.

Note that Erigon is also known to be significant inspiration for many design decisions in Reth. However, the spirit of the graph-based contribution evaluation approach is that any such indirect contributions should not be counted here, rather they should be treated as a separate edge in the graph from Erigon to Reth."
2025-01-24T19:17:57.066Z,L1Juror1,https://github.com/web3/web3.js,https://github.com/paradigmxyz/reth,ethereum,1,2.22,"Reth has a 2% market share in Ethereum execution clients. Using Herfindahl indices (0.341 with Reth, 0.355 without it), one can argue that Reth makes the staking client distribution 3.85% more decentralized. If we take this marginal contribution as a fraction of all marginal contributions, we get (0.0385 / (0.0385 + ...)) = 0.0410, ie. Reth is doing 4% of the work of improving client decentralization. Averaging these two, we give it a 3% contribution share.

web.js is a crucial library for the user interface layer; AI estimates it to have a 20% market share.

Intuitively, it feels like execution clients are ~3x more important than the web3 library: Ethereum cannot survive without the former, though the latter is still very important.

Hence the total score is 0.2 / 0.03 * 3 = 2.22 in web3.js's favor."
2025-01-24T19:20:19.601Z,L1Juror1,https://github.com/erigontech/erigon,https://github.com/ethereum/go-ethereum,ethereum,2,10.55,"Erigon and Geth are both execution clients. Their market shares are 3% and 43%.

We can evaluate their contributions to client diversity by comparing Herfindahl index of staking with and without them:

>>> def hh(l): return sum([x**2 for x in l]) / sum(l)**2
... 
>>> hh([43, 36, 16, 3, 2])
0.3414
>>> hh([43, 36, 16, 2])
0.3618875544691253
>>> hh([36, 16, 3, 2])
0.4816866728224069

This suggests Geth's contribution to decentralization is 6.8x greater than Erigon's. Meanwhile, by raw market share, Geth has 14.3x more usage. Averaging these two, we get 10.55x in Geth's favor."
2025-01-24T19:25:40.017Z,L1Juror1,https://github.com/ethereumjs/ethereumjs-monorepo,https://github.com/ethers-io/ethers.js,ethereum,2,4.0,"EthereumJS is not used directly as an execution client to any significant extent, but it is used as a library in Truffle, Remix, light clients and other contexts. ethers.js is used by Hardhat, but is also used heavily by application frontends. In general, ethers.js is significantly more prominent."
2025-01-15T11:19:51.121Z,L1Juror10,https://github.com/erigontech/erigon,https://github.com/ethereum/web3.py,ethereum,1,50.0,"A performant and robust execution client implementation is key for the multi-client ethos of Ethereum. A key part to decentralization and a much harder thing to implement/maintain. web3.py is great, but there are a lot less moving pieces and it requires way fewer people to maintain."
2025-01-15T11:22:16.292Z,L1Juror10,https://github.com/prysmaticlabs/prysm,https://github.com/hyperledger/besu,ethereum,1,3.0,"Prysm has shouldered the burden of the majority consensus client on Ethereum for a very long time. If something happened with Prysm during that time, the network would have definitely had issues during previous times. They have done awesome work. Besu is great too, but this is the reason I gave a multiplier to prysm."
2025-01-15T11:24:06.402Z,L1Juror10,https://github.com/safe-global/safe-smart-account,https://github.com/paradigmxyz/reth,ethereum,1,1.5,"This is a tricky one! Safes secure a ton of value on Ethereum and have been of the reasons that institutions and capital have been able to securely thrive on network over time. reth has lived for a shorter amount of time, but has done lots of great work and is poised to become an important execution client moving forward."
2025-01-15T11:25:53.213Z,L1Juror10,https://github.com/vyperlang/vyper,https://github.com/ethereum/go-ethereum,ethereum,2,10.0,"Geth is an essential piece of infrastructure for the Ethereum ecosystem and has been the main client almost since inception. They have also shouldered the majority execution client burden since the merge. Vyper is an important tool as well, but it's not as much used as Solidity and so I believe that Geth is significantly more valuable."
2025-01-15T20:40:34.675Z,L1Juror11,https://github.com/hyperledger/besu,https://github.com/grandinetech/grandine,ethereum,1,50.0,"besu for its larger dominance, context within consensys, collaboration with teku"
2025-01-15T20:42:56.210Z,L1Juror11,https://github.com/erigontech/erigon,https://github.com/sigp/lighthouse,ethereum,2,5.0,lighthouse for its collaboration across and good relationships with other consensus layer (and execution layer) clients. erigon is valuable for its archive nodes and non-validating node prevalence
